instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
13568258,53001,NIFTY25SEPFUT,NIFTY,0.0,2025-09-30,0.0,0.1,75,FUT,NFO-FUT,NFO
13355010,52168,NIFTY25OCTFUT,NIFTY,0.0,2025-10-28,0.0,0.1,75,FUT,NFO-FUT,NFO
9485826,37054,NIFTY25NOVFUT,NIFTY,0.0,2025-11-25,0.0,0.1,75,FUT,NFO-FUT,NFO
13566722,52995,BANKNIFTY25SEPFUT,BANKNIFTY,0.0,2025-09-30,0.0,0.2,35,FUT,NFO-FUT,NFO
13349122,52145,BANKNIFTY25OCTFUT,BANKNIFTY,0.0,2025-10-28,0.0,0.2,35,FUT,NFO-FUT,NFO
9485058,37051,BANKNIFTY25NOVFUT,BANKNIFTY,0.0,2025-11-25,0.0,0.2,35,FUT,NFO-FUT,NFO
13570818,53011,360ONE25SEPFUT,360ONE,0.0,2025-09-30,0.0,0.1,500,FUT,NFO-FUT,NFO
13355522,52170,360ONE25OCTFUT,360ONE,0.0,2025-10-28,0.0,0.1,500,FUT,NFO-FUT,NFO
9808130,38313,360ONE25NOVFUT,360ONE,0.0,2025-11-25,0.0,0.1,500,FUT,NFO-FUT,NFO
13571074,53012,ABB25SEPFUT,ABB,0.0,2025-09-30,0.0,0.1,125,FUT,NFO-FUT,NFO
13355778,52171,ABB25OCTFUT,ABB,0.0,2025-10-28,0.0,0.1,125,FUT,NFO-FUT,NFO
9808386,38314,ABB25NOVFUT,ABB,0.0,2025-11-25,0.0,0.1,125,FUT,NFO-FUT,NFO
13571330,53013,ABCAPITAL25SEPFUT,ABCAPITAL,0.0,2025-09-30,0.0,0.05,3100,FUT,NFO-FUT,NFO
13356034,52172,ABCAPITAL25OCTFUT,ABCAPITAL,0.0,2025-10-28,0.0,0.05,3100,FUT,NFO-FUT,NFO
9808642,38315,ABCAPITAL25NOVFUT,ABCAPITAL,0.0,2025-11-25,0.0,0.05,3100,FUT,NFO-FUT,NFO
13571586,53014,ADANIENSOL25SEPFUT,ADANIENSOL,0.0,2025-09-30,0.0,0.05,675,FUT,NFO-FUT,NFO
13356290,52173,ADANIENSOL25OCTFUT,ADANIENSOL,0.0,2025-10-28,0.0,0.05,675,FUT,NFO-FUT,NFO
9808898,38316,ADANIENSOL25NOVFUT,ADANIENSOL,0.0,2025-11-25,0.0,0.05,675,FUT,NFO-FUT,NFO
13571842,53015,ADANIENT25SEPFUT,ADANIENT,0.0,2025-09-30,0.0,0.1,300,FUT,NFO-FUT,NFO
13356546,52174,ADANIENT25OCTFUT,ADANIENT,0.0,2025-10-28,0.0,0.1,300,FUT,NFO-FUT,NFO
9809154,38317,ADANIENT25NOVFUT,ADANIENT,0.0,2025-11-25,0.0,0.1,300,FUT,NFO-FUT,NFO
13572098,53016,ADANIGREEN25SEPFUT,ADANIGREEN,0.0,2025-09-30,0.0,0.05,600,FUT,NFO-FUT,NFO
13356802,52175,ADANIGREEN25OCTFUT,ADANIGREEN,0.0,2025-10-28,0.0,0.05,600,FUT,NFO-FUT,NFO
9991170,39028,ADANIGREEN25NOVFUT,ADANIGREEN,0.0,2025-11-25,0.0,0.05,600,FUT,NFO-FUT,NFO
13573122,53020,ADANIPORTS25SEPFUT,ADANIPORTS,0.0,2025-09-30,0.0,0.1,475,FUT,NFO-FUT,NFO
13357058,52176,ADANIPORTS25OCTFUT,ADANIPORTS,0.0,2025-10-28,0.0,0.1,475,FUT,NFO-FUT,NFO
9991426,39029,ADANIPORTS25NOVFUT,ADANIPORTS,0.0,2025-11-25,0.0,0.1,475,FUT,NFO-FUT,NFO
13573378,53021,ALKEM25SEPFUT,ALKEM,0.0,2025-09-30,0.0,0.5,125,FUT,NFO-FUT,NFO
13357314,52177,ALKEM25OCTFUT,ALKEM,0.0,2025-10-28,0.0,0.5,125,FUT,NFO-FUT,NFO
9991682,39030,ALKEM25NOVFUT,ALKEM,0.0,2025-11-25,0.0,0.5,125,FUT,NFO-FUT,NFO
13575938,53031,AMBER25SEPFUT,AMBER,0.0,2025-09-30,0.0,0.5,100,FUT,NFO-FUT,NFO
13357570,52178,AMBER25OCTFUT,AMBER,0.0,2025-10-28,0.0,0.5,100,FUT,NFO-FUT,NFO
9991938,39031,AMBER25NOVFUT,AMBER,0.0,2025-11-25,0.0,0.5,100,FUT,NFO-FUT,NFO
13576194,53032,AMBUJACEM25SEPFUT,AMBUJACEM,0.0,2025-09-30,0.0,0.05,1050,FUT,NFO-FUT,NFO
13357826,52179,AMBUJACEM25OCTFUT,AMBUJACEM,0.0,2025-10-28,0.0,0.05,1050,FUT,NFO-FUT,NFO
11307522,44170,AMBUJACEM25NOVFUT,AMBUJACEM,0.0,2025-11-25,0.0,0.05,1050,FUT,NFO-FUT,NFO
13576450,53033,ANGELONE25SEPFUT,ANGELONE,0.0,2025-09-30,0.0,0.1,250,FUT,NFO-FUT,NFO
13363202,52200,ANGELONE25OCTFUT,ANGELONE,0.0,2025-10-28,0.0,0.1,250,FUT,NFO-FUT,NFO
11307778,44171,ANGELONE25NOVFUT,ANGELONE,0.0,2025-11-25,0.0,0.1,250,FUT,NFO-FUT,NFO
13576706,53034,APLAPOLLO25SEPFUT,APLAPOLLO,0.0,2025-09-30,0.0,0.1,350,FUT,NFO-FUT,NFO
13363458,52201,APLAPOLLO25OCTFUT,APLAPOLLO,0.0,2025-10-28,0.0,0.1,350,FUT,NFO-FUT,NFO
